id,classification,sequence,excelRow,title,filename,status
R-D-10,4,10,113,丰岛美术馆 Teshima Art Museum / Matrix,4-10.jpg,matched-by-user-key
R-D-11,4,11,114,石上纯也《Water Garden 水庭》,4-11.jpg,matched-by-user-key
R-D-12,4,12,115,MVRDV《Tainan Spring 河乐广场》,4-12.jpg,matched-by-user-key
R-D-13,4,13,116,Anish Kapoor《Descension》,4-13.jpg,matched-by-user-key
R-D-14,4,14,117,Peter Zumthor《Therme Vals》,4-14.webp,matched-by-user-key
R-D-15,4,15,119,Basilica Cistern 2022 更新改造,4-15.jpg,matched-by-user-key
R-E-1,5,1,154,"Light Well
光井",5-1.jpg,matched-by-user-key
R-E-2,5,2,155,克里纳门,5-2.jpg,matched-by-user-key
R-E-3,5,3,156,"Château d’eau : lumière mythique
水塔：神话之光",5-3.jpg,matched-by-user-key
R-E-4,5,4,157,"Purple Membrane
紫色膜",5-4.jpg,matched-by-user-key
R-E-5,5,5,158,Random Conservatorio,5-5.jpg,matched-by-user-key
R-E-6,5,6,159,"LIFE – fluid, invisible, inaudible…
《生命——流动的、不可见的、不可听见的……》",5-6.jpg,matched-by-user-key
R-E-7,5,7,160,"The Pool of Memories
记忆之池",5-7.jpg,matched-by-user-key
R-E-8,5,8,161,"Splash Zone
飞溅区",5-8.jpg,matched-by-user-key
R-E-9,5,9,162,"Volume Morto
死库容",5-9.jpg,matched-by-user-key
R-E-10,5,10,163,眼眶,5-10.jpg,matched-by-user-key
R-E-11,5,11,164,Library / 图书馆,5-11.jpg,matched-by-user-key
R-E-12,5,12,165,Svalbard Global Seed Vault,5-12.jpg,matched-by-user-key
R-E-13,5,13,166,Hornsdale Power Reserve,5-13.jpg,matched-by-user-key
R-F-1,6,1,200,"Deeper Than Sorrow
比悲伤更深",6-1.png,matched-by-user-key
R-F-2,6,2,201,"Soul Reclaim Device
灵魂回收装置",6-2.jpg,matched-by-user-key
R-F-3,6,3,202,"Undercurrents
暗流",6-3.jpg,matched-by-user-key
R-F-4,6,4,203,"Time No Longer
时间不再",6-4.jpg,matched-by-user-key
R-F-5,6,5,204,"Pool of Perspectives – 2030
视角之池——2030",6-5.jpg,matched-by-user-key
R-F-6,6,6,205,Meet Me at the Pool,6-6.jpg,matched-by-user-key
R-F-7,6,7,206,Trust,6-7.jpg,matched-by-user-key
R-F-8,6,8,207,"Four Masks
四张面具",6-8.jpg,matched-by-user-key
R-F-9,6,9,208,Haha Real,6-9.jpg,matched-by-user-key
R-F-10,6,10,209,"Spatial Chromointerference
空间色彩干扰",6-10.jpg,matched-by-user-key
R-F-11,6,11,210,"Water Means Life
水即生命",6-11.jpg,matched-by-user-key
R-F-12,6,12,211,"Absence of Water
无水之处",6-12.jpg,matched-by-user-key
R-F-13,6,13,212,古罗马水利系统,6-13.png,matched-by-user-key
R-F-14,6,14,213,安部公房《砂女》,6-14.jpg,matched-by-user-key
R-F-15,6,15,214,逗号 Comma,6-15.jpg,matched-by-user-key
